packet_no,msg_type,src_mac,src_ip,xid,lease_time,relay_ip,dns,gateway,label,attack_type
21,OFFER,server,192.168.1.32,10680,28553,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
22,REQUEST,62:78:34:b4:7a:fe,0.0.0.0,11254,69661,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
23,REQUEST,68:93:e8:b1:52:82,0.0.0.0,79368,55364,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
24,OFFER,server,192.168.1.73,38309,75704,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
25,OFFER,server,192.168.1.120,31617,49075,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
26,DISCOVER,5f:88:5a:3c:fa:ca,0.0.0.0,39555,12975,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
27,DISCOVER,ed:92:27:98:13:96,0.0.0.0,92973,3706,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
28,REQUEST,3b:03:ae:b6:6a:af,0.0.0.0,62326,53890,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
29,DISCOVER,b5:4f:b1:91:40:21,0.0.0.0,50421,14344,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
30,OFFER,server,192.168.1.107,56684,67245,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
31,OFFER,server,192.168.1.190,11652,75471,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
32,DISCOVER,83:cb:7c:62:2d:0c,0.0.0.0,80675,80928,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
33,DISCOVER,79:3d:ae:af:0d:dd,0.0.0.0,34550,70842,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
34,DISCOVER,0f:ba:3e:b4:55:25,0.0.0.0,1521,39722,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
35,DISCOVER,7f:41:47:b7:4e:4e,0.0.0.0,85487,50479,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
36,DISCOVER,57:85:e9:f7:78:63,0.0.0.0,71072,33410,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
37,DISCOVER,db:34:47:d5:52:4e,0.0.0.0,43146,19181,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
38,DISCOVER,ea:28:1f:1f:b2:6f,0.0.0.0,46384,33007,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
39,REQUEST,0d:e5:3f:bc:4e:b1,0.0.0.0,28190,13300,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
40,DISCOVER,08:41:43:ca:92:61,0.0.0.0,2630,21036,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
41,OFFER,rogue_server,10.0.0.5,76768,8095,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
42,REQUEST,d8:bb:c8:b8:83:70,192.168.1.119,58974,50219,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
43,DISCOVER,6f:e9:79:64:54:df,0.0.0.0,44504,10414,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
44,ACK,server,192.168.1.187,17750,53255,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
45,REQUEST,28:c6:cf:86:c0:a4,192.168.1.156,29369,16248,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
46,OFFER,attacker,111.111.111.1,75074,16739,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
47,REQUEST,6d:31:50:b8:99:38,192.168.1.81,54077,15684,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
48,OFFER,server,192.168.1.126,71972,29555,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
49,ACK,server,192.168.1.175,86408,52424,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
50,OFFER,server,192.168.1.69,18754,33973,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
51,ACK,4b:2c:03:f8:2d:c0,192.168.1.55,53346,68118,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
52,REQUEST,71:5d:f3:35:c1:ed,0.0.0.0,35599,16199,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
53,ACK,server,192.168.1.53,65148,38301,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
54,REQUEST,86:3b:ad:4a:07:f7,0.0.0.0,94563,18628,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
55,OFFER,attacker,111.111.111.1,74402,1874,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
56,ACK,attacker,111.111.111.1,69580,17301,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
57,DISCOVER,2e:84:10:be:d3:c4,0.0.0.0,93215,37681,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
58,OFFER,server,192.168.1.15,54564,84317,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
59,DISCOVER,c8:04:a3:ac:5d:7c,0.0.0.0,64640,68791,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
60,ACK,server,192.168.1.84,27713,51349,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
61,DISCOVER,49:9f:72:d9:35:c5,0.0.0.0,55626,83705,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
62,REQUEST,de:53:a5:96:99:5d,0.0.0.0,93877,10670,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
63,OFFER,server,192.168.1.105,74413,26094,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
64,DISCOVER,5d:32:2f:35:45:24,0.0.0.0,91022,67373,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
65,OFFER,server,192.168.1.118,50825,76723,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
66,DISCOVER,91:f3:6b:5e:1b:12,0.0.0.0,9880,82413,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
67,REQUEST,ed:33:96:74:75:de,192.168.1.38,99425,82435,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
68,DISCOVER,62:ec:f8:6f:27:74,0.0.0.0,73034,17808,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
69,DISCOVER,29:86:76:17:21:6e,0.0.0.0,19332,64100,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
70,OFFER,server,192.168.1.167,49293,7497,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
71,REQUEST,3a:22:d0:6b:3b:cd,0.0.0.0,63975,6857,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
72,DISCOVER,66:7f:96:0a:72:03,0.0.0.0,88260,19081,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
73,REQUEST,cb:6d:15:8a:3b:f3,0.0.0.0,56917,54480,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
74,ACK,40:09:19:ab:ef:e7,192.168.1.94,59189,84448,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
75,ACK,server,192.168.1.70,40195,3880,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
76,ACK,server,192.168.1.101,95760,52354,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
77,OFFER,server,192.168.1.246,62943,12352,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
78,DISCOVER,7a:2d:1f:16:59:45,0.0.0.0,49887,41994,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
79,OFFER,server,192.168.1.3,14023,55450,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
80,ACK,9b:aa:60:6f:76:75,192.168.1.88,73222,24465,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
81,ACK,server,192.168.1.26,75539,50295,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
82,DISCOVER,ea:bd:50:f6:ba:b4,0.0.0.0,25616,19408,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
83,DISCOVER,1a:34:04:65:58:a5,0.0.0.0,86719,72787,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
84,REQUEST,e7:01:5e:10:9c:f0,0.0.0.0,92448,75849,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
85,DISCOVER,e7:76:ac:05:ca:55,0.0.0.0,38253,31987,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
86,REQUEST,b4:4b:b4:4f:74:7d,192.168.1.50,27668,2570,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
87,OFFER,server,192.168.1.78,62023,56337,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
88,ACK,server,192.168.1.190,24137,17287,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
89,ACK,server,192.168.1.232,42864,29166,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
90,DISCOVER,07:e9:a9:95:82:5c,0.0.0.0,21213,50677,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
91,OFFER,server,192.168.1.108,32782,12207,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
92,ACK,server,192.168.1.139,34684,38270,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
93,REQUEST,3c:dd:8f:22:a3:7a,0.0.0.0,72983,56532,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
94,OFFER,server,192.168.1.191,96805,75978,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
95,ACK,server,192.168.1.208,10563,8294,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
96,ACK,d5:1e:72:a8:a8:88,192.168.1.54,83294,72938,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
97,ACK,server,192.168.1.223,29334,16715,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
98,DISCOVER,3a:7b:c8:06:c9:8a,0.0.0.0,20132,53889,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
99,ACK,server,192.168.1.210,34499,33342,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
100,ACK,server,192.168.1.35,42166,82014,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
101,DISCOVER,2f:7a:db:a7:c2:52,0.0.0.0,72284,17904,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
102,REQUEST,8e:e0:7f:64:ba:9e,192.168.1.240,16212,3915,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
103,REQUEST,07:fc:76:e6:47:0b,0.0.0.0,43687,19093,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
104,DISCOVER,35:73:2e:35:ba:1d,0.0.0.0,65735,2232,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
105,ACK,server,192.168.1.178,9915,19574,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
106,DISCOVER,1a:ec:65:77:c5:e8,0.0.0.0,13913,47584,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
107,REQUEST,0d:64:3f:03:6a:a5,0.0.0.0,58221,50755,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
108,REQUEST,f0:17:ef:83:d1:ba,0.0.0.0,87105,30477,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
109,DISCOVER,11:23:37:39:9d:49,0.0.0.0,65216,22534,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
110,OFFER,server,192.168.1.158,67871,86097,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
111,DISCOVER,40:fe:7c:81:8a:61,0.0.0.0,24551,57493,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
112,DISCOVER,5b:1e:89:f2:1b:15,0.0.0.0,25740,65048,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
113,ACK,server,192.168.1.192,77291,22073,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
114,REQUEST,52:df:34:9b:67:00,0.0.0.0,83038,20847,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
115,REQUEST,79:ac:f7:a0:46:0e,0.0.0.0,64854,63951,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
116,DISCOVER,50:53:79:05:cc:17,0.0.0.0,80857,48306,10.0.143.181,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
117,OFFER,server,192.168.1.43,46570,65939,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
118,DISCOVER,f4:2f:d4:a7:f5:6d,0.0.0.0,66203,40074,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
119,REQUEST,7b:64:5a:49:2b:31,0.0.0.0,76371,74404,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
120,OFFER,server,192.168.1.241,85737,14442,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
121,OFFER,attacker,111.111.111.1,17824,73502,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
122,DISCOVER,97:89:d3:00:e5:23,0.0.0.0,11222,14145,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
123,OFFER,server,192.168.1.198,36479,16298,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
124,OFFER,server,192.168.1.196,53463,54898,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
125,DISCOVER,59:12:23:7e:dc:31,0.0.0.0,64327,17444,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
126,DISCOVER,4d:3c:de:ad:bc:90,0.0.0.0,25807,2050,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
127,REQUEST,fa:3e:40:2f:f7:a0,0.0.0.0,82257,20245,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
128,REQUEST,5a:a9:ac:1f:c4:03,192.168.1.124,98514,25104,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
129,REQUEST,d7:5d:53:d2:6a:e0,192.168.1.88,18249,58906,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
130,DISCOVER,40:fc:1e:ec:45:73,0.0.0.0,73476,77460,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
131,ACK,server,192.168.1.19,53148,27900,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
132,ACK,server,192.168.1.18,7032,61053,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
133,REQUEST,74:85:6d:b0:27:fd,0.0.0.0,72060,19256,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
134,ACK,attacker,111.111.111.1,83138,85242,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
135,REQUEST,53:94:e9:f0:2c:23,192.168.1.10,74846,66912,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
136,ACK,server,192.168.1.222,92986,34964,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
137,DISCOVER,2b:3b:c6:54:a5:a0,0.0.0.0,62150,12437,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
138,OFFER,server,192.168.1.68,73974,50202,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
139,OFFER,server,192.168.1.137,13254,40898,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
140,OFFER,server,192.168.1.21,90874,2795,10.0.138.126,123.123.123.123,111.111.111.1,ATTACK,RELAY_ANOMALY
141,ACK,attacker,111.111.111.1,73089,37504,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
142,OFFER,server,192.168.1.46,65981,16551,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
143,REQUEST,b4:b8:16:c4:37:c5,0.0.0.0,16064,83446,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
144,ACK,server,192.168.1.118,39492,62782,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
145,OFFER,rogue_server,10.0.0.5,65773,80877,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
146,REQUEST,3f:b4:06:9e:d1:e5,192.168.1.40,30562,36617,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
147,REQUEST,0c:fa:8c:85:ff:f7,0.0.0.0,23960,12709,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
148,DISCOVER,4c:3a:61:55:dd:e6,0.0.0.0,88719,75025,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
149,OFFER,server,192.168.1.194,58516,7223,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
150,OFFER,server,192.168.1.27,28941,13934,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
151,ACK,server,192.168.1.151,91973,74481,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
152,ACK,server,192.168.1.250,77554,72259,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
153,OFFER,server,192.168.1.50,43170,34085,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
154,OFFER,attacker,111.111.111.1,80567,74910,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
155,ACK,server,192.168.1.109,20353,61415,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
156,DISCOVER,c3:00:da:a3:5a:a9,0.0.0.0,22854,12791,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
157,REQUEST,7d:f6:31:10:a0:f6,0.0.0.0,98766,2214,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
158,REQUEST,4d:7d:19:81:2b:a7,192.168.1.205,50419,24316,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
159,DISCOVER,91:02:fa:23:b3:75,0.0.0.0,66885,26164,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
160,DISCOVER,81:cb:ab:94:5d:eb,0.0.0.0,33439,70806,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
161,ACK,server,192.168.1.253,50330,76762,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
162,REQUEST,2a:7a:f1:b6:2d:15,192.168.1.22,70490,5067,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
163,ACK,server,192.168.1.16,6865,11460,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
164,REQUEST,6f:fa:eb:f9:0c:b9,0.0.0.0,8220,43916,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
165,REQUEST,10:f3:ec:d3:f7:8b,192.168.1.84,17628,31809,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
166,ACK,server,192.168.1.251,24170,15605,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
167,REQUEST,7b:0f:f2:82:71:4c,192.168.1.213,17725,85419,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
168,ACK,server,192.168.1.8,22492,40367,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
169,REQUEST,6a:d4:58:79:b5:6f,192.168.1.186,64600,21277,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
170,DISCOVER,5f:cc:6a:55:41:fd,0.0.0.0,26875,18082,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
171,DISCOVER,7b:77:35:18:57:47,0.0.0.0,83605,27942,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
172,DISCOVER,3b:ca:62:bc:16:93,0.0.0.0,52640,36449,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
173,ACK,server,192.168.1.82,9373,24059,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
174,DISCOVER,e2:bd:24:0b:d1:4f,0.0.0.0,95500,36094,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
175,ACK,server,192.168.1.20,88756,82442,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
176,DISCOVER,13:75:3d:fd:f3:86,0.0.0.0,55465,33713,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
177,OFFER,server,192.168.1.177,24522,17867,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
178,REQUEST,38:30:64:a8:73:42,0.0.0.0,19384,37051,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
179,DISCOVER,d0:64:8f:7a:73:7e,0.0.0.0,85849,35336,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_STARVATION
180,ACK,server,192.168.1.177,34628,40230,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
181,DISCOVER,a9:8e:c0:57:89:20,0.0.0.0,85203,61657,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
182,REQUEST,ef:3b:d4:73:cb:31,0.0.0.0,57559,3495,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
183,REQUEST,0f:ab:75:24:b8:b9,192.168.1.202,25204,70924,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
184,REQUEST,e2:8f:63:6a:30:c6,192.168.1.226,72598,40110,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ABNORMAL_RENEWAL
185,REQUEST,45:6a:f9:b6:00:06,0.0.0.0,63802,46774,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
186,REQUEST,af:9c:83:cd:8c:99,0.0.0.0,93013,46796,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
187,OFFER,rogue_server,10.0.0.5,30455,66216,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
188,ACK,server,192.168.1.84,33929,14752,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
189,ACK,attacker,111.111.111.1,17623,78861,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DHCP_SPOOFING
190,REQUEST,c8:85:cf:3f:cb:d6,0.0.0.0,62977,82505,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
191,OFFER,server,192.168.1.250,40107,53119,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
192,ACK,server,192.168.1.234,15359,17558,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
193,ACK,server,192.168.1.65,86393,3847,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
194,REQUEST,e3:7b:ad:31:2d:a7,0.0.0.0,30090,64,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
195,OFFER,rogue_server,10.0.0.5,44744,3370,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,ROGUE_DHCP
196,ACK,2b:4a:58:7d:34:de,192.168.1.5,23828,80697,0.0.0.0,123.123.123.123,111.111.111.1,ATTACK,DUPLICATE_IP
197,REQUEST,b2:36:27:a5:33:3c,0.0.0.0,79656,3389,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
198,OFFER,server,192.168.1.247,30751,69246,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
199,ACK,server,192.168.1.9,11449,37515,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
200,REQUEST,ee:4d:c8:01:64:9c,0.0.0.0,44324,52121,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
201,ACK,server,192.168.1.188,71670,66275,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
202,ACK,server,192.168.1.209,26553,51366,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
203,ACK,server,192.168.1.230,9656,55029,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
204,REQUEST,8c:d6:79:22:11:e1,0.0.0.0,60917,44266,0.0.0.0,8.8.8.8,192.168.1.1,BENIGN,NONE
